"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"389"|"a1103"|"53944"|""|"31/07/2006 12:19:29"|"31/07/2006 12:19:45"|"0"|"veg-3"|"635"
"390"|"O1A8"|"10082"|"Stock miroir"|"31/07/2006 12:19:33"|"28/06/2010 09:13:55"|"0"|"2B-A11"|"635"
"391"|"a1053"|"54644"|""|"31/07/2006 12:24:24"|"31/07/2006 12:24:37"|"0"|"veg-2"|"634"
"392"|"O2A6"|"10034"|"Stock miroir"|"31/07/2006 12:24:26"|"28/06/2010 09:16:00"|"0"|"2B-A12"|"634"
"393"|"a1065"|"53719"|""|"31/07/2006 12:30:22"|"31/07/2006 12:30:32"|"0"|"veg-2"|"727"
"394"|"a1140"|"55221"|""|"31/07/2006 16:44:24"|"31/07/2006 16:44:35"|"0"|"veg-4"|"638"
"395"|"O1A9"|"10171"|"Stock miroir"|"31/07/2006 16:44:26"|"28/06/2010 09:13:58"|"0"|"2B-A11"|"638"
"396"|"a1151"|"56139"|""|"31/07/2006 16:51:52"|"31/07/2006 16:52:02"|"0"|"veg-4"|"641"
"397"|"a1075"|"55548"|""|"31/07/2006 16:54:23"|"31/07/2006 16:54:35"|"0"|"veg-1"|"644"
"398"|"O1B1"|"10105"|"Stock miroir"|"31/07/2006 16:54:25"|"28/06/2010 09:14:01"|"0"|"2B-A11"|"644"
"399"|"a1026"|"54758"|""|"31/07/2006 16:56:58"|"31/07/2006 16:57:10"|"0"|"veg-1"|"637"
"400"|"O1E6"|"10228"|"Stock miroir"|"31/07/2006 16:57:00"|"28/06/2010 09:15:35"|"0"|"2B-A11"|"637"
"401"|"a1079"|"54036"|""|"01/08/2006 09:31:25"|"01/08/2006 09:31:38"|"0"|"veg-1"|"567"
"402"|"O2A4"|"9993"|"Stock miroir"|"01/08/2006 09:31:27"|"28/06/2010 09:15:55"|"0"|"2B-A12"|"567"
"403"|"a1106"|"54044"|""|"01/08/2006 09:35:50"|"01/08/2006 09:36:02"|"0"|"veg-5"|"559"
"404"|"a1122"|"55062"|""|"01/08/2006 09:35:51"|"01/08/2006 09:36:16"|"0"|"veg-5"|"559"
"405"|"a1088"|"53996"|""|"01/08/2006 09:38:40"|"01/08/2006 09:38:49"|"0"|"veg-2"|"648"
"406"|"a1102"|"54752"|""|"01/08/2006 09:39:49"|"01/08/2006 09:39:59"|"0"|"veg-3"|"652"
"407"|"O1D4"|"10067"|"Stock miroir"|"01/08/2006 09:39:49"|"28/06/2010 09:15:08"|"0"|"2B-A11"|"652"
"408"|"a1131"|"54453"|""|"01/08/2006 09:42:45"|"01/08/2006 09:42:56"|"0"|"veg-5"|"653"
"409"|"O2A7"|"10136"|"Stock miroir"|"01/08/2006 09:42:45"|"28/06/2010 09:16:03"|"0"|"2B-A12"|"653"
"410"|"a1128"|"54451"|""|"01/08/2006 12:03:49"|"01/08/2006 12:04:03"|"0"|"veg-4"|"655"
"411"|"O1D5"|"10227"|"Stock miroir"|"01/08/2006 12:03:53"|"28/06/2010 09:15:10"|"0"|"2B-A11"|"655"
"412"|"a1090"|"53852"|""|"01/08/2006 12:07:32"|"01/08/2006 12:07:45"|"0"|"veg-2"|"656"
